Support,CB,Titre,Auteur,Localisation,Cote,Statut,"Année acquisition","Année publication","Nb prêts année","Nb réservations année","Nb prêts totaux"
PE,C3200001071,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED1A,"P 31478 Prêt adultes",0,2016,1999,2,0,8
PE,C3200004411,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2016,1993,4,0,6
PE,C2100003212,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage",0,2016,2009,5,0,7
PE,C3200001322,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,6,0,11
PE,c3200001375,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2°Prêt 3e étage",0,2016,2008,0,0,3
PE,C3200001489,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,7,0,11
LI,C2100003794,"Les innovateurs","Walter Isaacson",MED3A,"Doc./000 ABC",0,2016,2015,3,2,4
LI,C2100003791,"Programmer avec JavaScript en s'amusant mégapoche pour les Nuls",,MED3A,"Doc./004 PRO",0,2016,2015,7,2,11
LI,C2100003790,"L'univers secret de la cryptographie",,MED3A,"Doc./002 ENJ",0,2016,2015,2,1,4
LI,C2100003786,Linux,"Richard Blum",MED3A,"Doc./006 LIN",0,2016,2015,4,1,9
LI,C2100003784,"Ces objets connectés qui vont changer votre vie","Jérôme Colombain, Yasmina Lecomte & François Sorel",MED3A,"Doc./000 ABC",0,2016,2015,2,0,3
LI,C2100003783,"Apprenez à programmer en C","Mathieu Nebra",MED3A,"Doc./004 PRO",0,2016,2015,4,1,8
LI,C2100003777,"Apprenez à programmer en Java","Cyrille Herby",MED3A,"Doc./004 PRO",0,2016,2015,4,0,10
PE,C3200001635,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt 3e étage",0,2016,2013,2,0,6
LI,C3200001015,"Guide d'autodéfense numérique","ouvrage collectif",MED3A,"Doc./002 GUI",0,2016,2014,4,0,6
PE,C3200001871,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2°Prêt 3e étage",0,2016,2008,7,0,12
PE,C3200001864,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED1A,"P 31478 Prêt adultes",0,2016,1999,5,0,11
PE,C3200001863,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,2,0,5
PE,C0005817375,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2016,1993,3,0,6
PE,C3200001882,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,4,0,5
PE,C3200001959,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage",0,2016,2009,7,0,17
PE,C3200002015,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt 3e étage",0,2016,2013,4,0,9
PE,C3200002055,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,2,0,7
PE,C3200002032,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,4,0,11
PE,C3200002086,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,7,0,11
LI,C2100004524,"Windows 10","Jean-François Sehan",MED3A,"Doc./006 WIN",0,2016,2015,10,16,16
PE,C3200002218,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,3,0,7
PE,C3200002247,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,2,0,6
PE,C3200002239,"Canard PC hardware","dir. de publ. Jérôme Darnaudet",MED3A,"P 31556 Prêt 3e étage",0,2016,2012,3,0,7
PE,C3200002337,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt 3e étage",0,2016,2013,0,0,
PE,C3200002377,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,4,0,9
PE,C3200002563,"Linux pratique. Essentiel","dir. de publ. Arnaud Metzler",MED1A,"P 31478 Prêt adultes",0,2016,1999,0,0,6
PE,C3200002584,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2°Prêt 3e étage",0,2016,2008,7,0,11
PE,C3200002580,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,3,0,5
PE,C3200002706,"Compétence Mac","dir. de publ. Mikkel Franck",MED3A,"P 31519 1°RDC 2°Prêt 3e étage ",0,2016,2009,7,0,10
PE,C3200002689,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,5,0,9
PE,C3200002727,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2016,2013,9,0,13
PE,C3200002725,Freelog,"dir. de publ. Hafida Hamdani",MED3A,"P 31413 1°RDC 2°Prêt 3e étage",0,2016,1993,0,0,1
PE,C2200001390,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,7,0,11
PE,C3200002921,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,4,0,7
PE,C3200002954,"Web design","réd. en chef Stéphanie Guillaume",MED3A,"P 31542 1°RDC 2° Prêt 3e étage",0,2016,2008,6,0,11
PE,C3200002982,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31539 1°RDC 2°Prêt 3e étage",0,2016,1998,2,0,4
PE,C3200003002,01net,"dir. de publ. Alain Weill",MED3A,"P 31020 1°RDC 2°Prêt 3e étage",0,2016,2013,3,0,8
PE,C3200003013,"Windows & internet pratique","réd. en chef Emmanuel Alexandre",MED3A,"P 31076 1°RDC 2°Prêt au 3e étage",0,2016,2013,0,0,2
PE,C3200003030,"Linux magazine","dir. de publ. Arnaud Metzler",MED3A,"P 31552 Prêt 3e étage",0,2016,1998,3,0,5
LI,C2100006514,"Créez des jeux de A à Z avec Unity","par Anthony Cardinale",MED3A,"Doc./004 PRO",0,2016,2015,5,0,8
