Thématique,Titre,"Numéro notice bib","1er destination","2e destination","empruntable ?",infos,Périodicité,"prix de l'abt","Nb prêts",Emprunteurs,"Prêts ex dist",Ex
Jeunesse,Popi,203333,"Prêt Jeunesse",,oui,,mensuel,60,279,97,60,24
Jeunesse,"P'tites sorcières",230965,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,69,276,73,44,17
Jeunesse,"Quelle histoire magazine",288666,"Prêt Jeunesse",,oui,"nouveau ",bimestriel,49,19,13,9,10
Jeunesse,"Salamandre junior",205651,"RDC / Espace presse","Prêt Jeunesse",oui,,bimestriel,29,27,17,17,6
Jeunesse,"Science et vie découvertes",157738,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,46,86,32,37,12
Jeunesse,Spirou,154602,"RDC / Espace presse","Prêt Jeunesse",oui,,hebdomadaire,100,52,30,37,48
Jeunesse,"Story box ",261784,"Prêt Jeunesse",,oui,,mensuel,71,59,39,26,10
Jeunesse,Toboclic,180588,,,,MORT,,0,80,31,35,0
Jeunesse,Toboggan,,"Prêt Jeunesse",,oui,nouveau,mensuel,59,0,0,0,0
Jeunesse,Toupie,157472,"Prêt Jeunesse",,oui,,mensuel,60,184,78,63,27
Jeunesse,"Tout comprendre",263636,"RDC / Espace presse","Prêt Jeunesse",oui,"nouvelle destination 2017",mensuel,65,90,38,25,10
Jeunesse,Tralalire,230017,"Prêt Jeunesse",,oui,,mensuel,70,144,42,51,12
Jeunesse,Virgule,157956,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,55,12,11,8,11
Jeunesse,Wakou,157119,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,69,16,11,11,0
Jeunesse,"Wakou : hors-série ",261053,"Prêt Jeunesse",,oui,"hs de Wakou",mensuel,0,82,38,33,13
Jeunesse,Wapiti,157471,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,69,84,40,46,14
Jeunesse,"Wapiti : hors-série ",157471,"Prêt Jeunesse",,oui,"hs de Wapiti",mensuel,0,84,40,46,14
Jeunesse,"Youpi  ",157491,"RDC / Espace presse","Prêt Jeunesse",oui,,mensuel,70,117,32,44,13
"Jeu vidéo","Canard PC",230351,"RDC / Espace presse","Prêt 1er étage / Jeu vidéo",oui,,bimensuel,78,37,14,21,21
"Jeu vidéo","Jeux vidéos magazine",288269,"RDC / Espace presse","Prêt 1er étage / Jeu vidéo",oui,,mensuel,31,55,19,14,12
Langues,"Al Moukhtarat",154678,,,oui,"n'existe plus sur papier",,0,22,12,8,3
Langues,"I love english ",158060,"3e étage / Langues",,oui,,mensuel,70,68,37,19,11
Langues,"I love english world",158059,"3e étage / Langues",,oui,,mensuel,70,90,50,19,11
Langues,"Vocable allemand ",169710,"3e étage / Langues",,oui,,bimensuel,49,59,12,34,24
Langues,"Vocable anglais",154846,"3e étage / Langues",,oui,,bimensuel,49,135,53,38,24
Langues,"Vocable espagnol",169712,"3e étage / Langues",,oui,,bimensuel,49,71,33,34,23
Littérature,"Algérie littérature action ",155547,"1er étage / Littérature",,oui,"à annuler (doro)",trimestriel,168,7,4,3,0
Littérature,"Books ",203322,"RDC/ Espace presse","Prêt 1er étage / LIT",oui,,mensuel,60,76,45,20,5
Littérature,"Brèves : actualité de la nouvelle",157252,Etude,"Prêt 1er étage / LIT",oui,,trimestriel,36,10,5,3,2
Littérature,"Cassandre ",230963,Etude,"Prêt 1er étage / LIT",oui,,trimestriel,45,4,4,1,0
Littérature,Critique,154811,Etude,magasin,non,,mensuel,92,0,0,0,0
Littérature,Décapage,288668,"1er étage / Littérature",,oui,"nouveau ",bi-annuel,30,11,10,3,3
Littérature,"Ecrire magazine ",157209,"RDC/ Espace presse","Prêt 1er étage / LIT",oui,,bimestriel,32,7,5,2,0
Littérature,Europe,154852,Etude,magasin,non,CR,mensuel,75,0,0,0,0
Littérature,Indic,277631,Etude,"Prêt 1er étage / LIT",oui,,trimestriel,28,6,5,6,4
Littérature,Lire,154664,"RDC/ Espace presse","Prêt 1er étage / LIT",oui,,mensuel,40,82,49,22,10
Littérature,"Magazine littéraire ",154666,"RDC/ Espace presse","Prêt 1er étage / LIT",oui,,mensuel,65,59,38,18,10
Littérature,"Matricule des anges ",157117,"RDC/ Espace presse","Prêt 1er étage / LIT",oui,,mensuel,44,35,17,14,10
Littérature,"Muze : culture, allure, littérature ",158058,,,,"Mort au printemps 2017",,0,28,21,8,3
Littérature,Nord',154681,Etude,magasin,non,CR,semestriel,24,0,0,0,0
Littérature,"Nouvelle revue française",154689,Etude,magasin,non,,mensuel,61,0,0,0,0
Littérature,"Page des libraires",155458,Circulation,"Prêt 1er étage / LIT",oui,"nouveau ",mensuel,48,0,0,0,2
Littérature,"Quinzaine littéraire",154709,Etude,magasin,non,,bimensuel,78,0,0,0,0
Littérature,"Revue des deux mondes",154716,Etude,magasin,non,,mensuel,89,0,0,0,0
Littérature,"Roman 20-50",154722,Etude,magasin,non,,semestriel,30,0,0,0,0
Littérature,Transfuge,169728,Etude,"Prêt 1er étage / LIT",oui,,bimestriel,52,27,18,12,10
Littérature,Vacarme,157959,Etude,"Prêt 1er étage / LIT",oui,,trimestriel,40,2,2,2,3
Loisirs,"Echo de la timbrologie",154813,"RDC / Espace presse","prêt 1er étage / Loisirs",oui,,mensuel,49,23,7,11,12
Loisirs,"Pêche et les poissons",154691,"RDC / Espace presse","prêt 1er étage / Loisirs",oui,,mensuel,40,32,9,12,12
"Loisirs créatifs",Créative,295235,"1er étage / Loisirs créatifs",,oui,"nouveau ",bimestriel,24,13,13,2,2
"Loisirs créatifs","Fait main",235035,"1er étage / Loisirs créatifs",,oui,,mensuel,60,108,30,19,12
"Loisirs créatifs","Idées de Marianne",157480,"1er étage / Loisirs créatifs",,oui,,,49,53,18,22,11
"Loisirs créatifs","Marie Claire idées ",174565,"RDC / Espace presse","1er étage / Loisirs créatifs",oui,,bimestriel,24,72,36,9,5
"Loisirs créatifs","Modes et travaux ",154836,"RDC / Espace presse","1er étage / Loisirs créatifs",oui,,mensuel,27,147,42,21,11
"Loisirs créatifs",Prima,154701,"RDC / Espace presse","1er étage / Loisirs créatifs",oui,,mensuel,25,98,35,19,12
Musique,"Abus dangereux",157462,"RDC / Espace presse","1er étage / Musique",oui,,bimestriel,20,4,3,4,5
Musique,"Avant-scène opéra",154795,Etude,"1er étage / Musique",oui,,bimestriel,210,1,1,1,6
Musique,"Blues magazine ",261566,Etude,"1er étage / Musique",oui,,trimestriel,16,14,8,8,4
Musique,Classica,206204,"RDC / Espace presse","1er étage / Musique",oui,,mensuel,49,26,8,14,10
Musique,"Diapason  ",154639,"RDC / Espace presse","1er étage / Musique",oui,,mensuel,50,38,11,16,14
Musique,"Francofans ",179709,"RDC / Espace presse","1er étage / Musique",oui,,bimestriel,36,11,3,7,6
Musique,Inrockuptibles,156763,"RDC / Espace presse","1er étage / Musique",oui,,hebdomadaire,115,211,23,60,48
Musique,"Jazz magazine/Jazzman",213485,"RDC / Espace presse","1er étage / Musique",oui,,mensuel,42,35,14,17,11
Musique,"Je chante ! ",189853,Etude,"1er étage / Musique",oui,,irrégulier,30,2,2,1,1
Musique,"Magic ",156356,"RDC / Espace presse",,,MORT,,0,8,5,5,0
Musique,"Monticule musique",,,,,MORT,,0,0,0,0,0
Musique,"Obsküre magazine ",229890,"RDC / Espace presse",,,MORT,,0,8,7,5,0
Musique,"Reggae vibes",296443,"RDC / Espace presse","1er étage / Musique",oui,"nouveau ",bimestriel,34,0,0,0,5
Musique,"Rock & folk",155109,"RDC / Espace presse","1er étage / Musique",oui,,mensuel,"63,5",72,21,19,10
Musique,Rockawa,300067,"RDC / Espace presse","1er étage / Musique",oui,nouveau,bimestriel,54,0,0,0,1
Musique,"Soul bag ",154725,Etude,"1er étage / Musique",oui,,trimestriel,24,10,9,7,4
Musique,"Trad magazine",200948,Etude,magasin,non,,bimestriel,40,0,0,0,0
Musique,"Tsugi ",203325,"RDC / Espace presse","1er étage / Musique",oui,,mensuel,55,43,9,17,12
Philosophie,Esprit,154642,Etude,magasin,non,CR,mensuel,117,0,0,0,0
Philosophie,"Philosophie magazine ",180042,"RDC / Espace presse","prêt 3e / Sc. Humaines",oui,,mensuel,55,93,32,25,13
Philosophie,"Raison présente",154710,Etude,magasin,non,,trimestriel,90,0,0,0,0
Philosophie,"Revue philosophique de la France et de l'étranger ",154952,Etude,"prêt 3e / Sc. Humaines",oui,,trimestriel,88,5,3,4,4
Poésie,Décharge,288667,Etude,"prêt 1er étage / Poésie",oui,"nouveau ",trimestriel,28,0,0,0,4
Poésie,"Peut être",289202,"1er étage / Poésie",,oui,"nouveau ",annuel,30,1,1,1,1
"Presse féminine / masculine","Amina : le magazine de la femme ",180036,"RDC / Espace presse","1er étage / Presse féminine",oui,,mensuel,27,29,11,14,12
"Presse féminine / masculine","Avantages ",157955,"RDC / Espace presse","1er étage / Presse féminine",oui,,mensuel,22,177,74,34,22
"Presse féminine / masculine",Biba,157479,"RDC / Espace presse","1er étage / Presse féminine",oui,,mensuel,21,82,45,18,11
"Presse féminine / masculine",Causette,265060,"RDC / Espace presse","1er étage / Presse féminine",oui,,bimestriel,50,141,56,23,11
"Presse féminine / masculine","Cosmopolitan ",229785,"RDC / Espace presse","1er étage / Presse féminine",oui,,mensuel,19,92,44,17,11
"Presse féminine / masculine",Elle,154640,"RDC / Espace presse","1er étage / Presse féminine",oui,,hebdomadaire,88,422,90,80,51
"Presse féminine / masculine","Femme actuelle ",154750,"RDC / Espace presse","1er étage / Presse féminine",oui,,hebdomadaire,70,466,93,140,105
"Presse féminine / masculine",Flow,289366,"RDC / Espace presse","1er étage / Presse féminine",oui,,bimestriel,52,56,38,6,6
"Presse féminine / masculine",Gazelle,180246,"RDC / Espace presse","1er étage / Presse féminine",oui,,bimestriel,29,61,26,11,6
"Presse féminine / masculine","Good life",284686,"1er étage / Presse féminine",,oui,,bimestriel,31,28,22,8,5
"Presse féminine / masculine","GQ : gentlemen's quarterly",203326,"RDC / Espace presse","1er étage / Presse féminine",oui,,mensuel,26,69,20,19,11
"Presse féminine / masculine","Madame Figaro",154646,"RDC / Espace presse","1er étage / Presse féminine",oui,"sup au Figaro",hebdomadaire,0,147,33,61,54
"Presse féminine / masculine","Marie-Claire ",154831,"RDC / Espace presse","1er étage / Presse féminine",oui,,mensuel,21,111,46,18,11
"Presse féminine / masculine",Maxi,229523,"RDC / Espace presse","1er étage / Presse féminine",oui,,hebdomadaire,50,241,49,68,49
"Presse féminine / masculine","Notre temps magazine",154695,"RDC / Espace presse","1er étage / Presse féminine",oui,,mensuel,40,164,45,40,25
"Presse féminine / masculine","Nous deux",192468,"RDC / Espace presse","1er étage / Presse féminine",oui,,hebdomadaire,96,247,25,70,52
"Presse féminine / masculine","Point de vue",265058,"RDC / Espace presse","1er étage / Presse féminine",oui,,hebdomadaire,95,375,33,76,50
"Presse féminine / masculine",Serengo,288265,"RDC / Espace presse","1er étage / Presse féminine",oui,"nouveau ",mensuel,48,127,64,14,12
"Presse féminine / masculine","Vanity fair",265059,"RDC / Espace presse","1er étage / Presse féminine",oui,,mensuel,29,80,32,16,11
"Presse féminine / masculine","Version femina ",157573,Etude,magasin,non,,hebdomadaire,0,97,22,52,45
"Presse féminine / masculine","Version femina ",157573,"RDC / Espace presse","1er étage / Presse féminine",oui,"sup VDN et NE",hebdomadaire,0,97,22,52,45
professionnel,Archimag,189206,"salle de déballage",magasin,non,CR,mensuel,175,0,0,0,0
professionnel,"Arts & métiers du livre",155225,Etude,"prêt 3e / Sc. Humaines",oui,,bimestriel,59,13,2,10,6
professionnel,"Biblioteca magazine, BD et jeunesse ",,"Circulation Doro, Alain, Céline",magasin,non,"nouveau ","mensuel (trimestriel pour la jeu)",35,0,0,0,0
professionnel,Bibliothèque(s),157612,"Salle de déballage",magasin,non,,bimestriel,60,0,0,0,0
professionnel,"Bulletin des Bibliothèques de France",154619,"Salle de déballage",magasin,non,CR,trimestriel,95,0,0,0,0
professionnel,"I2D, info, données et documents",277633,"Salle de déballage",magasin,non,CR,bimestriel,140,0,0,0,0
professionnel,"Images documentaires",154655,Etude,magasin,non,,irrégulier,39,0,0,0,0
professionnel,"Lecture jeune",154628,Circulation,magasin,non,CR,trimestriel,48,0,0,0,0
professionnel,"Lectures devenu Lectures Cultures",296469,"Salle de déballage",magasin,non,CR,bimestriel,45,0,0,0,1
professionnel,"Livres hebdo",156433,Circulation,magasin,non,,hebdomadaire,400,0,0,0,0
professionnel,Netsources,180585,"salle de déballage",magasin,non,,bimestriel,135,0,0,0,0
professionnel,"Nous voulons lire",155509,Circulation,magasin,non,CR,bimestriel,52,0,0,0,0
professionnel,"Revue de la bibliothèque nationale de France",156467,Etude,magasin,non,CR,trimestriel,39,0,0,0,0
professionnel,"Revue des livres pour enfants",154718,Circulation,magasin,non,CR,trimestriel,65,9,5,4,6
Région,"Abeille ",180768,,,,"MORT / CR",,0,0,0,0,0
Région,"Abeille ",180768,,,,"MORT / CR",,0,0,0,0,0
Région,"Association de recherches historiques de Wattrelos",154606,Etude,magasin,non,CR,"très irrégulier",15,0,0,0,0
Région,"Ateliers mémoire, Mémoire des ateliers",210151,Etude,magasin,non,,irrégulier,0,1,1,1,0
Région,"Ateliers mémoire, Mémoire des ateliers",210151,"prêt RDC / Espace FR",,oui,,irrégulier,0,1,1,1,0
Région,"Autrement dit ",213647,Etude,magasin,non,CR,bimensuel,75,0,0,0,0
Région,Brique,213994,"RDC / Espace presse",magasin,non,,bimestriel,20,0,0,0,0
Région,"Bulletin du cercle d'études mythologiques",154803,Etude,magasin,non,CR,bimestriel,38,0,0,0,0
Région,"Carnet et les instants",154806,Etude,"prêt RDC / Espace FR",oui,,bimestriel,0,4,1,3,4
Région,Ch'lanchron,154807,Etude,magasin,non,CR,trimestriel,33,0,0,0,0
Région,"Croix du Nord",156470,"RDC / Espace café","prêt RDC / Espace FR",oui,,hebdomadaire,66,9,1,7,66
Région,"Eco 121",235028,"RDC / Espace presse","prêt RDC / Espace FR",oui,,mensuel,40,2,2,2,10
Région,"Franse Nederlanden-Pays Bas français",189137,Etude,magasin,non,CR,annuel,0,0,0,0,0
Région,"Gens et Pierres de Roubaix",178541,Etude,magasin,non,,trimestriel,25,7,7,4,0
Région,"Gens et Pierres de Roubaix",178541,"prêt RDC / Espace FR",,oui,,trimestriel,25,7,7,4,0
Région,"Liberté hebdo",154663,"RDC / Espace café",magasin,non,,hebdomadaire,70,0,0,0,0
Région,"Mémoires du cercle d'études mythologiques",154670,Etude,magasin,non,"couplé avec Bulletin …",annuel,0,0,0,0,0
Région,"Nord éclair",154713,Etude,magasin,non,,quotidien,350,0,0,0,0
Région,"Nord éclair",154713,"RDC / Espace café",découpes,non,,quotidien,350,0,0,0,0
Région,"Nord généalogie",154840,Etude,magasin,non,,trimestriel,40,1,1,1,4
Région,"Nord généalogie",154840,"prêt RDC / Espace FR",,oui,,trimestriel,40,1,1,1,4
Région,Onde,259403,Etude,magasin,non,,bimensuel,0,0,0,0,0
Région,"Revue du Nord. Histoire",155494,Etude,magasin,non,CR,trimestriel,90,0,0,0,0
Région,Septentrion,154724,Etude,magasin,non,CR,trimestriel,90,0,0,0,0
Région,"Tendances Lille métropole",,,,oui,MORT,,0,0,0,0,0
Région,"Voix des sports",154877,"RDC / Espace café",magasin,non,,hebdomadaire,73,0,0,0,0
Région,"Voix du Nord",154847,"RDC / Espace café",découpes,non,,quotidien,350,0,0,0,0
Région,"Voix du Nord",154847,Etude,magasin,non,,quotidien,350,0,0,0,0
Religion,"Monde des religions ",157923,"RDC / Espace presse","prêt 3e / Sc. Humaines",oui,,bimestriel,39,22,12,8,5
Religion,Noor,270113,Etude,"prêt 3e / Sc. Humaines",oui,,trimestriel,12,1,1,1,0
Religion,Pèlerin,155100,"RDC / Espace presse","prêt 3e / Sc. Humaines",oui,nouveau,hebdomadaire,96,33,4,30,32
Religion,"Témoignage chrétien ",261090,,,,"abt supprimé",,0,1,1,1,4
Réussir,"Dossiers de l'ONISEP",243966,"Prêt 3e étage / Réussir",,oui,"en doc",,"51,2",25,13,13,6
Réussir,Etudiant,156764,"RDC / Espace presse","Prêt 3e étage / Réussir",oui,,mensuel,100,26,17,15,11
Réussir,"Etudiant. Hors-série ",192438,"3e étage / Réussir",,oui,"HS inclus dans abt",3/an,0,14,11,6,6
Réussir,"Parcours : construire son avenir",157747,"3e étage / Réussir (en doc)",,oui,,irrégulier,114,91,59,44,10
Réussir,"Phosphore : le magazine des années lycée",154696,"RDC / Espace presse","Prêt 3e étage / Réussir",oui,,mensuel,70,43,20,20,12
"Sciences et techniques","Auto-journal ",154714,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,bimensuel,65,196,41,72,50
"Sciences et techniques","Astronomie ",154930,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,mensuel,60,29,10,16,9
"Sciences et techniques","Ca m'intéresse ",154629,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,mensuel,35,188,59,38,24
"Sciences et techniques","Cahiers de Science et vie",154625,Etude,"Prêt 3e étage / Sciences",oui,,bimestriel,38,67,38,14,8
"Sciences et techniques","Carnets de science",300070,"3e étage / Sciences",,oui,"nouveau ",semestriel,25,1,1,1,1
"Sciences et techniques","Ciel & espace ",154633,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,mensuel,54,28,17,10,8
"Sciences et techniques","Comment ça marche",229886,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,mensuel,69,113,47,24,16
"Sciences et techniques","Industrie et technologies",157536,Etude,"Prêt 3e étage / Sciences",oui,,mensuel,228,14,8,9,11
"Sciences et techniques","Journal du textile",165080,Etude,magasin,non,,hebdomadaire,179,0,0,0,0
"Sciences et techniques","Moto magazine",154854,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,mensuel,40,11,2,11,9
"Sciences et techniques","Pour la science ",155086,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,mensuel,59,73,23,19,13
"Sciences et techniques","Science et vie",154845,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,mensuel,54,82,33,21,12
"Sciences et techniques","Science et vie : hors série",155510,Etude,"Prêt 3e étage / Sciences",oui,"HS inclus dans abt",trimestriel,0,32,17,6,6
"Sciences et techniques","Sciences et avenir",170136,"RDC / Espace presse","Prêt 3e étage / Sciences",oui,,mensuel,35,55,31,19,11
"Sciences / Environnement","Age de faire",192476,"RDC / Espace café","prêt 3e / Sciences",oui,,mensuel,32,40,11,16,13
"Sciences / Environnement","Ecologiste ",182568,"RDC / Espace presse","prêt 3e / Sciences",oui,,bimestriel,30,12,10,4,2
"Sciences / Environnement","EK – Ecologik",253635,"RDC / Espace presse","prêt 3e / Sciences",oui,,bimestriel,68,29,19,8,6
"Sciences / Environnement","Maison écologique ",192463,"RDC / Espace presse","prêt 3e / Sciences",oui,,bimestriel,34,35,18,10,6
"Sciences / Santé","Côté santé",266158,,,,MORT,,0,33,23,8,4
"Sciences / Santé","Psychologie positive",288266,"RDC / Espace presse","prêt 1er étage / Bien être",oui,nouveau,bimestriel,22,15,13,4,4
"Sciences / Santé","Psychologies magazine",157258,"RDC / Espace presse","prêt 1er étage / Bien être",oui,,mensuel,36,238,113,43,24
"Sciences / Santé","Recherche ",154711,"RDC / Espace presse","prêt 1er étage / Bien être",oui,,mensuel,67,87,45,23,9
"Sciences / Santé","Santé magazine ",154844,"RDC / Espace presse","prêt 1er étage / Bien être",oui,,mensuel,32,165,62,30,12
"Sciences / Santé","Science & santé",259871,"RDC / Espace presse","prêt 1er étage / Bien être",oui,,bimestriel,0,30,21,17,12
"Sciences humaines","Actes de la recherche en sciences sociales",154785,Etude,magasin,non,,trimestriel,78,0,0,0,0
"Sciences humaines","Genre humain",154823,Etude,magasin,non,,semestriel,29,0,0,0,0
"Sciences humaines",Homme,154826,Etude,magasin,non,CR,trimestriel,90,0,0,0,0
"Sciences humaines","Revue des sciences humaines (RSH)",154719,Etude,magasin,non,,trimestriel,78,0,0,0,0
"Sciences humaines","Sang froid",288278,Etude,"Prêt 3e étage / Sc. humaines",oui,nouveau,trimestriel,71,5,4,3,4
"Sciences humaines","Sciences humaines",157958,"RDC / Espace presse","Prêt 3e étage / Sc. humaines",oui,,mensuel,58,79,35,22,13
"Sciences humaines","Temps modernes",154731,Etude,magasin,non,,bimestriel,81,0,0,0,0
"Sciences humaines",Terrain,154732,"Prêt 3e étage / Sc. humaines",,oui,,semestriel,0,3,3,3,1
"Sciences humaines",Tsafon,288527,Etude,"Prêt 3e étage / Sc. humaines",oui,,semestriel,32,0,0,0,2
Sports,Equipe,154817,"RDC / Espace café",magasin,non,,quotidien,456,0,0,0,0
Sports,"Equipe magazine",154872,"RDC / Espace café","prêt 1er étage / sports",oui,"sup à l'Equipe",hebdomadaire,0,48,14,35,51
Sports,"France football ",154762,"RDC / Espace café","prêt 1er étage / sports",oui,,hebdomadaire,120,160,30,86,84
Sports,"Jogging international",157972,"RDC / Espace presse","prêt 1er étage / sports",oui,,mensuel,59,102,35,28,12
Sports,"Karaté Bushido ",155874,"RDC / Espace presse","prêt 1er étage / sports",oui,,mensuel,39,27,2,14,9
Sports,"Mondial basket",180041,"RDC / Espace presse","prêt 1er étage / sports",oui,,mensuel,35,11,6,8,9
Sports,"So foot",230961,"RDC / Espace presse","prêt 1er étage / sports",oui,,mensuel,39,50,16,13,9
Sports,"Sport et vie ",157971,"RDC / Espace presse","prêt 1er étage / sports",oui,,bimestriel,45,44,12,14,8
Sports,"Tennis magazine",288267,"RDC / Espace presse","prêt 1er étage / sports",oui,nouveau,mensuel,45,2,2,2,4
Sports,"Vélo magazine",154735,"RDC / Espace presse","prêt 1er étage / sports",oui,,mensuel,43,25,11,11,10
Sports,"Vélo tout terrain",203329,"RDC / Espace presse","prêt 1er étage / sports",oui,,mensuel,30,18,7,11,12
