Thématique,Titre,"Numéro notice bib","1er destination","2e destination","empruntable ?",infos,Périodicité,"prix de l'abt","Nb prêts",Emprunteurs,"Prêts ex dist",Ex
"Actualités générales","WE demain",266159,Etude,"prêt 1er étage",oui,,trimestriel,48,30,24,8,4
"Actualités générales","XXI : l'information grand format",197167,Etude,"prêt 1er étage",oui,,trimestriel,62,63,40,11,4
Ados,"Dossiers de l'actualité",265062,"RDC / Espace café","prêt 1er étage / Ados",oui,,mensuel,37,10,7,6,10
Ados,"Géo Ado : le plaisir d'explorer ",157735,"RDC / Espace presse","prêt 1er étage / Ados",oui,,mensuel,59,102,38,29,11
Ados,"Je bouquine ",154699,"RDC / Espace presse","prêt 1er étage / Ados",oui,"nouvelle destination 2017",mensuel,70,81,31,36,24
Ados,"Monde des ados ",161909,"RDC / Espace presse","prêt 1er étage / Ados",oui,,bimensuel,65,116,58,36,26
Ados,Pretties,268677,"RDC / Espace presse","prêt 1er étage / Ados",oui,,bimestriel,24,41,18,14,4
Ados,"Science et vie junior",154727,"RDC / Espace presse","prêt 1er étage / Ados",oui,,mensuel,60,135,52,22,12
Ados,"Science et vie junior : hors-série",154728,"1er étage / Ados",,oui,,trimestriel,0,53,30,12,6
Ados,"So foot junior-club",276449,"RDC / Espace presse","prêt 1er étage / Ados",oui,,mensuel,30,56,26,18,11
Ados,Topo,293576,"1er étage / Ados",,oui,nouveau,Bimestriel,75,21,14,5,6
Animation,"Animeland ",157468,"RDC/ Espace presse","prêt 1er étage / Animation",oui,,mensuel,35,38,14,10,4
Animaux,"30 millions d'amis",154778,"RDC / espace presse","prêt 1er étage / Animaux",oui,,mensuel,33,125,41,41,20
Animaux,Espèces,290987,"1er étage / Animaux",,oui,"nouveau ",trimestriel,27,21,14,4,4
Animaux,"Monde des animaux",288279,"RDC / espace presse","prêt 1er étage / Animaux",oui,"nouveau ",bimestriel,24,4,3,2,3
Animaux,"Salamandre : la revue des curieux de nature",203330,"1er étage / Animaux",,oui,,bimestriel,38,100,32,23,6
Arts,"Art actuel",,,,,MORT,,0,0,0,0,0
Arts,"Art press",156766,"RDC / Espace presse","prêt 1er étage / Arts",oui,,mensuel,68,50,21,20,11
Arts,Artension,268790,Etude,"prêt 1er étage / Arts",oui,,trimestriel,40,28,16,9,7
Arts,"Beaux-Arts magazine ",154610,"RDC / Espace presse","prêt 1er étage / Arts",oui,,mensuel,58,94,43,22,12
Arts,"Connaissance des arts",196283,"RDC / Espace presse","prêt 1er étage / Arts",oui,,mensuel,75,66,39,18,11
Arts,"Dada ",154865,"RDC / Espace presse","prêt 1er étage / Arts",oui,,mensuel,58,64,25,19,8
Arts,"Graffiti art",266342,"RDC / Espace presse","prêt 1er étage / Arts",oui,,trimestriel,37,44,26,9,4
Arts,Hey,262004,Etude,"prêté 1er étage / Arts en doc",oui,,trimestriel,80,13,8,5,4
Arts,Mouvement,157473,"RDC / Espace presse","prêt 1er étage / Arts",oui,,bimestriel,29,21,8,11,5
Arts,"Technikart : culture et société ",157487,"RDC / Espace presse","prêt 1er étage / Arts",oui,,mensuel,33,31,17,12,9
"Arts / Architecture","Architectures à vivre ",169108,"RDC / Espace presse","prêt 1er étage / Arts",oui,,bimestriel,64,100,40,20,10
"Arts / Architecture","Design & home magazine",268679,"1er étage / Arts",,oui,,trimestriel,38,43,28,5,1
"Arts / Architecture","Home magazine",266902,"1er étage / Arts",,oui,,trimestriel,32,121,55,18,9
"Arts / Architecture",Idéat,268678,"RDC / Espace presse","prêt 1er étage / Arts",oui,,bimestriel,38,78,37,11,5
"Arts / Photographie","Compétence photo ",203331,"1er étage / Arts",,oui,,bimestriel,32,77,26,13,7
"Arts / Photographie","Polka : le magazine du photojournalisme",230964,Etude,"prêt 1er étage / Arts",oui,,trimestriel,20,26,16,7,3
"Arts / Photographie","Réponses photo",204508,"RDC / Espace presse","prêt 1er étage / Arts",oui,,mensuel,47,110,25,23,12
"Arts vivants","Avant-scène. Théâtre",154609,Etude,"prêt 1er étage / Arts vivants",oui,,bimensuel,170,19,7,16,19
"Arts vivants",Ballroom,154860,Etude,"prêt 1er étage / Arts vivants",oui,,trimestriel,32,2,2,2,4
"Arts vivants",Figura,154820,Etude,magasin,non,,bi-annuel,20,0,0,0,0
"Arts vivants",Théâtre(s),295234,Etude,"prêt 1er étage / Arts vivants",oui,"nouveau ",trimestriel,40,0,0,0,3
"Bande dessinée",AAARG!,,"RDC / Espace presse",,,MORT,,0,0,0,0,0
"Bande dessinée","Avis des bulles",157467,"RDC / Espace presse","RDC / Espace BD",oui,,mensuel,129,8,2,8,10
"Bande dessinée",Casemate,260363,"RDC / Espace presse","RDC / Espace BD",oui,,mensuel,53,25,9,12,11
"Bande dessinée","Comic box",,,,,MORT,,,0,0,0,0
"Bande dessinée","Coyote mag",234877,"RDC / Espace presse","RDC / Espace BD",oui,,trimestriel,35,49,17,15,9
"Bande dessinée",DBD,260364,"RDC / Espace presse","RDC / Espace BD",oui,,mensuel,74,16,11,8,9
"Bande dessinée","Fluide glacial",156335,"RDC / Espace presse","RDC / Espace BD",oui,,mensuel,54,85,26,18,11
"Bande dessinée","Immanquable ",260365,"RDC / Espace presse","RDC / Espace BD",oui,,mensuel,88,6,5,2,1
"Bande dessinée","Japan life style",229784,,,,SUSPENDU,bimestriel,0,12,8,6,0
"Bande dessinée","Revue dessinée",264820,Etude,"RDC / Espace BD",oui,,trimestriel,60,11,7,4,5
BUS,"30 millions d'amis",154778,"Prêt Bus",,oui,,mensuel,33,125,41,41,20
BUS,Astrapi,154607,"Prêt Bus",,oui,,bimensuel,100,595,140,128,44
BUS,"Auto-journal ",154714,"Prêt Bus",,oui,,bimensuel,65,196,41,72,50
BUS,"Avantages ",157955,"Prêt Bus",,oui,,mensuel,22,177,74,34,22
BUS,"Ca m'intéresse ",154629,"Prêt Bus",,oui,,mensuel,35,188,59,38,24
BUS,"Cuisine actuelle ",154856,"Prêt Bus",,oui,,mensuel,22,66,45,34,25
BUS,"Femme actuelle",154750,"Prêt Bus",,oui,,hebdomadaire,70,466,93,140,105
BUS,"France football",154762,"Prêt Bus",,oui,,hebdomadaire,120,160,30,86,84
BUS,"Géo ",154824,"Prêt Bus",,oui,,mensuel,55,229,114,46,24
BUS,"Histoires vraies devenu Je lis des….",261766,"Prêt Bus",,oui,"Nouveau ",mensuel,69,66,31,30,16
BUS,"J'aime lire",154779,"Prêt Bus",,oui,,mensuel,60,372,138,72,25
BUS,"Je bouquine ",154699,"Prêt Bus",,oui,,mensuel,70,81,31,36,24
BUS,"Maison & travaux ",180039,"Prêt Bus",,oui,,bimestriel,29,32,15,10,8
BUS,"Mon jardin & ma maison",154751,"Prêt Bus",,oui,,mensuel,40,245,73,46,19
BUS,"Notre temps magazine ",154695,"Prêt Bus",,oui,,mensuel,40,164,45,40,25
