code-barres,"date création exemplaire","date dernier retour exemplaire","nb prêts","code collection",lib1,lib2,lib3,lib4
C0002824468,2005-03-24,2015-04,59,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005348725,2013-02-09,,14,J05,Jeunesse,Albums,"Albums Petits enfants",
C0004200092,2005-12-06,2015-09,61,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003454339,2005-03-24,2016-03,18,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0002839853,2005-03-24,,55,J04,Jeunesse,Albums,"Albums enfants",
C0002832673,2005-03-24,,97,J04,Jeunesse,Albums,"Albums enfants",
C0004094881,2005-06-15,2015-06,58,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004468323,2007-05-30,,34,J04,Jeunesse,Albums,"Albums enfants",
C0004577570,2008-04-10,2016-05,37,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0002853734,2005-03-24,2015-09,46,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0002854057,2005-03-24,2015-11,45,JDT30ZZ,Jeunesse,Documentaires,"Société (enfants)",
C0002860228,2005-03-24,2015-04,74,JDT30ZZ,Jeunesse,Documentaires,"Société (enfants)",
C0002858629,2005-03-24,,17,J04,Jeunesse,Albums,"Albums enfants",
C0002859950,2005-03-24,,33,J07,Jeunesse,Albums,Contes,
C0002860286,2005-03-24,2016-03,57,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005840304,2013-08-03,2016-01,16,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004291158,2006-06-06,2015-04,41,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004798142,2009-01-15,2014-09,44,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003154256,2005-03-24,,32,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003012933,2005-03-24,2015-10,43,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003315975,2005-03-24,,69,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0002748167,2005-03-24,2016-04,14,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003016660,2005-03-24,,22,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003644489,2013-07-03,2014-08,8,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003133797,2005-03-24,2016-04,57,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0004844294,2009-04-02,2016-07,44,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0004679380,2008-04-15,2014-12,55,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
