code-barres,"date création exemplaire","date dernier retour exemplaire","nb prêts","code collection",lib1,lib2,lib3,lib4
C0003655749,2005-03-22,,126,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0000355772,2005-03-23,,39,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0005851485,2014-02-20,2017-05,32,JABPFEV,Jeunesse,Albums,Eveil,
C0004861018,2009-02-21,2017-01,48,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005238941,2011-09-09,2017-06,50,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003626805,2005-03-23,2017-06,126,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004581359,2008-04-17,2017-03,46,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003039294,2011-11-29,2017-07,41,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005387762,2013-03-16,2017-06,62,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005549924,2013-08-01,2016-12,27,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005238917,2011-09-09,2017-06,51,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004644335,2007-12-20,2017-06,108,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004458289,2007-11-22,2017-06,99,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005206520,2011-09-24,2017-01,58,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0000083278,2005-03-23,2017-07,79,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005385478,2013-01-19,2017-03,44,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003636868,2005-03-23,2017-01,138,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004299481,2009-08-04,2017-03,94,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004200204,2005-12-06,2017-06,72,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004358421,2007-01-17,2017-01,61,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0002201806,2005-03-23,2017-02,79,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0001589633,2005-03-23,2014-12,146,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0001847659,2005-03-23,,81,JMUEFZZ,Jeunesse,Musique,,
C0004839647,2009-04-07,2017-04,122,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004644068,2007-12-20,2017-07,146,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0006018887,2014-04-30,2017-07,21,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0002007626,2005-03-23,2016-11,29,JABEFDT,Jeunesse,Albums,Documentaires,
C0004465537,2007-05-09,2017-05,54,JABPFEV,Jeunesse,Albums,Eveil,
C0004440074,2007-02-20,2017-05,86,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005197624,2012-06-21,2017-02,81,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0002495853,2005-03-24,2017-05,85,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004056176,2005-03-24,2017-06,75,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004528725,2007-09-13,2016-06,103,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005314454,2010-11-03,2017-07,35,JABPFEV,Jeunesse,Albums,Eveil,
C0004833065,2009-02-27,2017-01,19,JDT60ZZ,Jeunesse,Documentaires,"Santé / Cuisine / Jeux et sports (enfants)",
C0003211375,2013-05-11,2017-03,40,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004944010,2009-11-24,2017-02,61,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0005208360,2011-10-05,2017-05,36,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003850349,2005-03-24,2017-03,73,JBDPBZZ,Jeunesse,"Bandes dessinées","Premières BD",
C0002402070,2005-03-24,2017-01,111,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0006017514,2014-05-13,2017-01,42,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0002605741,2005-03-24,2017-01,35,JABEFDT,Jeunesse,Albums,Documentaires,
C0005385485,2013-01-19,2017-07,53,JABPFEV,Jeunesse,Albums,Eveil,
C0002418908,2005-03-24,2017-03,60,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004577295,2008-04-09,,63,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0002422339,2005-03-24,2017-05,126,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0002347539,2005-03-24,2017-01,28,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005243514,2011-10-05,2017-07,56,JABPFEV,Jeunesse,Albums,Eveil,
C0004287010,2006-06-03,,89,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003954949,2005-09-16,,80,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004221616,2006-01-21,2017-02,37,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004458409,2007-11-22,2017-08,119,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005823840,2013-11-19,2016-12,7,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004318112,2006-09-14,2017-05,107,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003217054,2005-03-24,2017-04,55,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003203526,2005-03-24,2017-01,64,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0003203445,2005-03-24,2017-06,39,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005269308,2010-10-23,2017-03,114,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003134280,2005-03-24,2017-07,34,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003121009,2005-03-24,2017-04,58,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005673964,2013-10-25,2017-01,19,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004580426,2008-04-11,2017-06,52,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003178462,2005-03-24,2017-02,64,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005171848,2011-01-18,2017-07,41,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004644513,2007-12-20,2015-01,96,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003216448,2012-02-08,2016-12,21,JDT90ZZ,Jeunesse,Documentaires,"Géographie / Histoire (enfants)",
C0004220466,2006-01-21,2017-07,74,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005494156,2012-02-02,2017-05,22,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005196482,2011-11-25,2017-06,51,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004464298,2007-05-24,2017-03,113,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004844553,2009-04-02,2016-11,34,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0003223958,2005-03-24,2017-07,57,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004761064,2013-05-21,2017-07,40,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004669741,2008-02-01,2017-06,82,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003319717,2005-03-24,2017-01,73,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0005173175,2011-02-18,2017-07,91,JABPFEV,Jeunesse,Albums,Eveil,
C0004839891,2009-04-07,2017-07,116,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003374880,2005-03-24,2016-10,69,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003380718,2005-03-24,2016-12,41,JROHLZZ,Jeunesse,Romans,"Romans en livre sonore",
C0005387671,2013-03-16,2017-08,42,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003390315,2005-03-24,2016-12,37,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004072724,2005-05-12,2017-05,25,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003516814,2005-03-25,2017-08,29,JDT30ZZ,Jeunesse,Documentaires,"Société (enfants)",
C0003447560,2005-03-25,2017-04,64,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0005243530,2011-10-04,2017-06,64,JABPFEV,Jeunesse,Albums,Eveil,
C0003946899,2005-10-12,2017-04,79,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004425286,2006-12-13,2017-04,39,JABCTPE,Jeunesse,Albums,"Contes pour petits enfants",
C0005387823,2013-03-16,2017-06,61,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0006017842,2014-05-07,2017-06,50,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004938726,2009-09-24,2017-08,83,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005641765,2014-03-07,2017-03,19,JABPFCO,Jeunesse,Albums,Comptines,
C0003530004,2005-03-25,2017-06,104,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005533459,2012-07-28,2017-06,60,JABPFEV,Jeunesse,Albums,Eveil,
C0005172967,2011-02-10,2017-07,51,JABPFEV,Jeunesse,Albums,Eveil,
C0004579213,2008-04-15,,14,JABPFIP,Jeunesse,Albums,"Imagiers petits enfants",
C0003705510,2005-03-25,2017-07,36,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005462728,2012-03-29,2017-06,47,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0003971535,2005-03-25,2017-08,172,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004679631,2010-04-16,2017-02,40,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0004312564,2006-08-03,2017-06,47,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004797837,2009-01-16,2017-02,60,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003736951,2005-03-25,2017-06,77,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003740722,2005-03-25,2016-12,57,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0003758872,2005-03-25,2017-03,66,JBDPBZZ,Jeunesse,"Bandes dessinées","Premières BD",
C0003763152,2005-03-25,2017-07,119,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003872082,2005-03-25,2017-05,84,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0004750916,2008-10-04,2017-07,48,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0004750974,2008-10-04,2017-07,35,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0003801764,2005-03-25,2017-01,76,JROHLZZ,Jeunesse,Romans,"Romans en livre sonore",
C0003846374,2005-03-25,2017-03,44,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003817391,2005-03-25,2016-11,53,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003846120,2005-03-25,2017-02,37,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0003817888,2005-03-25,2017-06,34,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005208491,2011-10-05,2016-07,60,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005171979,2011-01-18,2017-07,65,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003866293,2005-03-25,2017-01,85,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0005238763,2011-09-09,2017-07,65,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003874408,2005-03-25,2017-03,26,JDT40ZZ,Jeunesse,Documentaires,"Langues (enfants)",
C0004578429,2008-04-12,2016-11,51,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003890763,2011-03-26,2014-12,20,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004528115,2007-09-13,2017-04,33,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0004464701,2007-05-23,2015-01,99,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004316801,2006-09-13,2017-06,110,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004834037,2009-03-05,2017-01,52,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003985322,2005-03-25,2017-07,54,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0003985039,2005-03-25,2017-06,85,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0005566372,2012-06-07,2017-04,40,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0003985021,2005-03-25,2017-01,71,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0004582494,2008-04-18,2017-02,58,JDT90ZZ,Jeunesse,Documentaires,"Géographie / Histoire (enfants)",
C0004003262,2005-03-25,2017-04,30,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0004317661,2006-09-09,,79,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004021870,2005-03-25,2016-02,41,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003973951,2005-03-25,2017-04,110,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004020777,2005-03-25,2016-12,20,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004020913,2005-03-25,2017-07,81,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0004020971,2005-03-25,2017-05,61,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0005291583,2010-06-18,2017-05,56,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0005549436,2013-04-02,2017-04,55,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004878439,2009-05-23,2017-01,87,JABPFIP,Jeunesse,Albums,"Imagiers petits enfants",
C0004041553,2005-03-25,2017-05,19,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005533084,2012-07-27,2017-01,21,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004540264,2007-10-27,2016-12,26,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004040395,2005-03-25,2017-01,18,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0004045361,2005-03-25,2017-07,147,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004056639,2005-03-25,2017-05,33,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004059514,2005-05-10,2017-07,109,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0005603794,2012-06-01,2017-05,37,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003583390,2005-03-29,2015-01,151,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005242916,2011-09-14,2017-04,45,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005840571,2013-08-03,2016-12,19,JABPFEV,Jeunesse,Albums,Eveil,
C0005238983,2011-09-09,2017-03,81,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005566242,2012-06-07,2017-07,56,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0003624057,2005-03-29,2017-02,48,JABLAFI,Jeunesse,Albums,"Albums en langue étrangère",Fiction
C0005841844,2014-05-07,2016-12,24,J32,Jeunesse,"Presse jeunesse",,
C0005361298,2012-02-28,2016-12,45,J32,Jeunesse,"Presse jeunesse",,
C0005809585,2014-01-14,2017-02,21,J32,Jeunesse,"Presse jeunesse",,
C0005808168,2014-01-22,2014-11,5,J32,Jeunesse,"Presse jeunesse",,
C0004764038,2008-11-22,2017-03,75,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0005568543,2012-07-03,2017-04,36,JABPFEV,Jeunesse,Albums,Eveil,
C0004818633,2009-01-17,2014-12,55,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005206839,2011-09-27,2017-05,43,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004099255,2005-06-15,2016-10,23,JABPFCO,Jeunesse,Albums,Comptines,
C0005564911,2012-05-05,2017-04,62,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004061244,2005-05-27,2017-03,92,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0004091875,2005-06-17,2017-06,68,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004096257,2005-06-09,2017-05,60,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004096702,2005-06-10,2017-01,27,JABPFCO,Jeunesse,Albums,Comptines,
C0006018290,2014-05-03,2017-03,39,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003916878,2005-08-03,2017-08,98,JDT70ZZ,Jeunesse,Documentaires,"Activités manuelles / Arts (enfants)",
C0003958951,2005-09-27,2016-12,20,JABEFDT,Jeunesse,Albums,Documentaires,
C0003958359,2005-09-27,2017-07,67,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005564989,2012-05-05,2017-02,67,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004832831,2009-02-28,,73,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003956608,2005-09-14,2017-06,90,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005242657,2011-09-13,2017-01,76,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003956349,2005-09-14,2014-12,90,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005794324,2014-06-19,2017-07,43,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005239206,2011-09-10,2017-01,79,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005034818,2009-10-28,2017-04,84,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003954800,2005-09-14,2017-04,138,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005039591,2009-12-01,2017-07,118,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005673902,2013-10-25,2017-05,42,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004938467,2009-10-24,2016-12,110,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005795628,2014-06-13,2017-01,43,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005494354,2012-02-02,2017-01,60,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004528490,2007-09-13,2017-05,122,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005522881,2012-10-23,2016-12,46,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004127333,2005-10-13,2016-12,112,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005543373,2012-12-20,2017-04,35,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004856851,2009-09-30,2017-01,81,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003947552,2005-10-13,2017-03,52,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005493891,2012-02-02,,12,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0005949007,2013-07-30,2017-03,40,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004168321,2005-11-03,2017-08,25,JDT40ZZ,Jeunesse,Documentaires,"Langues (enfants)",
C0004174487,2005-11-24,2017-05,42,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004178350,2005-11-24,2016-07,42,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004178091,2005-12-07,2017-05,48,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004186620,2011-11-02,,27,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004318057,2006-09-09,2017-03,78,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005673988,2013-10-25,2017-01,29,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004185022,2005-11-25,2014-12,49,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004184987,2005-11-25,2017-06,93,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005319624,2011-03-08,2017-01,26,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0005385423,2013-01-19,2017-01,44,JABPFEV,Jeunesse,Albums,Eveil,
C0004203074,2006-01-03,2017-06,77,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005800698,2014-05-21,2017-02,23,JABPFIP,Jeunesse,Albums,"Imagiers petits enfants",
C0004197697,2005-12-13,2017-05,28,JDT20ZZ,Jeunesse,Documentaires,"Religions (enfants)",
C0004888612,2009-06-18,2017-04,30,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004205034,2005-12-22,2016-12,34,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0004202696,2005-12-23,2017-01,105,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0005289463,2010-10-26,2017-07,63,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004215534,2006-02-09,2017-04,108,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004215291,2006-02-09,2016-12,157,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005236127,2011-08-10,2017-04,26,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004251695,2006-03-04,2017-02,43,JABEFDT,Jeunesse,Albums,Documentaires,
C0004833049,2009-03-03,2017-07,106,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004923048,2006-04-19,2017-02,31,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004288016,2006-05-30,2016-09,28,JABHLZZ,Jeunesse,Albums,"Contes en livre sonore",
C0004286640,2006-06-01,2017-03,137,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004310376,2006-07-20,2017-02,61,JABCTEF,Jeunesse,Albums,"Contes pour enfants",
C0004939900,2009-10-20,2017-06,77,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0003473854,2006-07-26,2017-06,124,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005266376,2010-07-31,2017-06,37,JABPFCO,Jeunesse,Albums,Comptines,
C0005002447,2013-07-26,2017-07,37,JABPFEV,Jeunesse,Albums,Eveil,
C0003875828,2005-03-25,2017-04,74,JABPFEV,Jeunesse,Albums,Eveil,
C0004319168,2006-09-14,2017-03,130,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005141982,2011-01-25,2014-11,60,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004644115,2007-12-21,,75,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004334752,2006-10-12,2017-06,32,JDT90ZZ,Jeunesse,Documentaires,"Géographie / Histoire (enfants)",
C0004323214,2006-10-14,2017-04,22,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004323646,2006-10-14,2016-12,36,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0005007405,2013-06-12,2017-06,49,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004367496,2006-10-17,2017-04,27,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004367616,2006-10-17,2017-01,56,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005141893,2011-01-25,2017-03,62,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004332394,2006-12-12,,23,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005334742,2011-11-22,2017-08,40,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004355376,2006-12-12,2017-01,38,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0004421753,2006-12-15,,39,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0006017408,2014-05-13,2017-04,52,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004355512,2006-12-12,2017-08,132,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004358405,2007-01-17,2017-02,43,JABPFIP,Jeunesse,Albums,"Imagiers petits enfants",
C0004433360,2007-02-10,2016-12,53,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004354702,2007-03-14,2017-05,155,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0005658954,2013-09-24,2017-01,26,JABLAFI,Jeunesse,Albums,"Albums en langue étrangère",Fiction
C0004890562,2009-07-02,2017-07,86,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004444272,2007-02-27,2017-06,93,JROROZZ,Jeunesse,Romans,"Romans pour enfants",
C0005603695,2012-06-01,2017-05,39,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005672332,2013-11-16,2017-08,37,JABPFEV,Jeunesse,Albums,Eveil,
C0006017330,2014-05-13,2017-01,33,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004429379,2007-04-05,2017-01,78,JBDCMZZ,Jeunesse,"Bandes dessinées",Comics,
C0004452445,2007-04-07,2017-05,40,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005840465,2013-08-03,2017-01,19,JABPFEV,Jeunesse,Albums,Eveil,
C0004537198,2013-04-17,2017-04,23,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0005548255,2013-07-26,2017-01,31,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004856380,2009-09-23,2017-06,104,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0005199260,2013-04-02,2016-11,52,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0005195795,2011-09-03,2017-06,27,JBDMGZZ,Jeunesse,"Bandes dessinées",Mangas,
C0004939439,2009-09-22,2015-01,44,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0004487181,2007-07-07,2017-03,58,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004469971,2007-05-29,2017-06,128,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004475825,2007-06-05,2017-06,62,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0004479528,2007-06-08,2017-03,66,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0004474170,2007-06-08,2016-04,29,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004485749,2007-07-13,2017-02,47,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0005198484,2008-08-20,2017-03,53,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004313633,2007-07-18,2017-05,100,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004313625,2007-07-17,2017-03,84,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004694186,2008-06-18,2017-02,75,JBDSRZZ,Jeunesse,"Bandes dessinées",Séries,
C0004443357,2007-07-19,2017-03,106,JABPFEV,Jeunesse,Albums,Eveil,
C0005679355,2013-05-25,2017-01,25,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0004362129,2007-11-09,2017-02,60,JRORMZZ,Jeunesse,Romans,"Premiers romans",
C0004539394,2007-10-30,2017-02,27,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0004542096,2007-11-14,2017-07,40,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005449347,2011-12-28,2017-06,56,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
