Actualités générales,Revue du crieur,285532,Etude,prêt 1er étage,oui,nouveau ,trimestriel,45,6,6,2,3
Actualités générales,Schnock : la revue des vieux de 27 à 87 ans,242618,Etude,prêt 1er étage,oui,,trimestriel,58,65,31,10,3
Actualités générales,Usbek & Rica,229887,Etude,prêt 1er étage,oui,,trimestriel,26,31,20,9,2
Actualités générales,Valeurs actuelles,154734,RDC / Espace presse,prêt 1er étage,oui,,hebdomadaire,159,253,61,78,51
Actualités générales,WE demain,266159,Etude,prêt 1er étage,oui,,trimestriel,48,36,26,9,4
Actualités générales,XXI : l'information grand format,197167,Etude,prêt 1er étage,oui,,trimestriel,62,64,40,11,4
Ados,Dossiers de l'actualité,265062,RDC / Espace café,prêt 1er étage / Ados,oui,,mensuel,37,12,8,8,10
Ados,Géo Ado : le plaisir d'explorer ,157735,RDC / Espace presse,prêt 1er étage / Ados,oui,,mensuel,59,108,43,28,12
Ados,Je bouquine ,154699,RDC / Espace presse,prêt 1er étage / Ados,oui,nouvelle destination 2017,mensuel,70,,,,
Ados,Monde des ados ,161909,RDC / Espace presse,prêt 1er étage / Ados,oui,,bimensuel,65,116,59,34,27
Ados,Pretties,268677,RDC / Espace presse,prêt 1er étage / Ados,oui,,bimestriel,24,47,19,14,6
Ados,Science et vie junior,154727,RDC / Espace presse,prêt 1er étage / Ados,oui,,mensuel,60,128,52,20,12
Ados,Science et vie junior : hors-série,154728,1er étage / Ados,,oui,,trimestriel,0,51,31,11,6
Ados,So foot junior-club,276449,RDC / Espace presse,prêt 1er étage / Ados,oui,,mensuel,30,56,26,15,10
Ados,Topo,293576,1er étage / Ados,,oui,nouveau,Bimestriel,75,16,12,5,5
Animation,Animeland ,157468,RDC/ Espace presse,prêt 1er étage / Animation,oui,,mensuel,35,36,18,10,5
Animaux,30 millions d'amis,154778,RDC / espace presse,prêt 1er étage / Animaux,oui,,mensuel,33,113,41,40,20
Animaux,Espèces,290987,1er étage / Animaux,,oui,nouveau ,trimestriel,27,15,11,4,4
Animaux,Monde des animaux,288279,RDC / espace presse,prêt 1er étage / Animaux,oui,nouveau ,bimestriel,24,3,2,1,2
Animaux,Salamandre : la revue des curieux de nature,203330,1er étage / Animaux,,oui,,bimestriel,38,98,31,22,6
Arts,Art actuel,,,,,MORT,,0,0,0,0,0
Arts,Art press,156766,RDC / Espace presse,prêt 1er étage / Arts,oui,,mensuel,68,48,20,20,11
Arts,Artension,268790,Etude,prêt 1er étage / Arts,oui,,trimestriel,40,26,17,9,7
Arts,Beaux-Arts magazine ,154610,RDC / Espace presse,prêt 1er étage / Arts,oui,,mensuel,58,90,44,21,12
Arts,Connaissance des arts,196283,RDC / Espace presse,prêt 1er étage / Arts,oui,,mensuel,75,66,40,18,11
Arts,Dada ,154865,RDC / Espace presse,prêt 1er étage / Arts,oui,,mensuel,58,64,25,19,9
Arts,Graffiti art,266342,RDC / Espace presse,prêt 1er étage / Arts,oui,,trimestriel,37,43,28,9,4
Arts,Hey,262004,Etude,prêté 1er étage / Arts en doc,oui,,trimestriel,80,13,8,5,4
Arts,Mouvement,157473,RDC / Espace presse,prêt 1er étage / Arts,oui,,bimestriel,29,18,7,9,5
Arts,Technikart : culture et société ,157487,RDC / Espace presse,prêt 1er étage / Arts,oui,,mensuel,33,32,17,13,9
Arts / Architecture,Architectures à vivre ,169108,RDC / Espace presse,prêt 1er étage / Arts,oui,,bimestriel,64,102,40,20,10
Arts / Architecture,Design & home magazine,268679,1er étage / Arts,,oui,,trimestriel,38,43,29,6,2
Arts / Architecture,Home magazine,266902,1er étage / Arts,,oui,,trimestriel,32,116,57,16,8
Arts / Architecture,Idéat,268678,RDC / Espace presse,prêt 1er étage / Arts,oui,,bimestriel,38,75,37,11,7
Arts / Photographie,Compétence photo ,203331,1er étage / Arts,,oui,,bimestriel,32,79,27,12,6
Arts / Photographie,Polka : le magazine du photojournalisme,230964,Etude,prêt 1er étage / Arts,oui,,trimestriel,20,26,15,7,4
Arts / Photographie,Réponses photo,204508,RDC / Espace presse,prêt 1er étage / Arts,oui,,mensuel,47,114,27,24,12
Arts vivants,Avant-scène. Théâtre,154609,Etude,prêt 1er étage / Arts vivants,oui,,bimensuel,170,14,5,11,21
Arts vivants,Ballroom,154860,Etude,prêt 1er étage / Arts vivants,oui,,trimestriel,32,3,3,2,4
Arts vivants,Figura,154820,Etude,magasin,non,,bi-annuel,20,0,0,0,0
Arts vivants,Théâtre(s),295234,Etude,prêt 1er étage / Arts vivants,oui,nouveau ,trimestriel,40,0,0,0,3
Bande dessinée,AAARG!,,RDC / Espace presse,,,MORT,,0,0,0,0,0
Bande dessinée,Avis des bulles,157467,RDC / Espace presse,RDC / Espace BD,oui,,mensuel,129,5,2,5,11
Bande dessinée,Casemate,260363,RDC / Espace presse,RDC / Espace BD,oui,,mensuel,53,19,7,9,11
Bande dessinée,Comic box,,,,,MORT,,,,,,
Bande dessinée,Coyote mag,234877,RDC / Espace presse,RDC / Espace BD,oui,,trimestriel,35,48,19,14,9
Bande dessinée,DBD,260364,RDC / Espace presse,RDC / Espace BD,oui,,mensuel,74,14,10,8,12
Bande dessinée,Fluide glacial,156335,RDC / Espace presse,RDC / Espace BD,oui,,mensuel,54,84,26,17,12
Bande dessinée,Immanquable ,260365,RDC / Espace presse,RDC / Espace BD,oui,,mensuel,88,4,4,1,0
Bande dessinée,Japan life style,229784,,,,SUSPENDU,bimestriel,0,15,9,6,0
Bande dessinée,Revue dessinée,264820,Etude,RDC / Espace BD,oui,,trimestriel,60,10,6,3,4
BUS,30 millions d'amis,154778,Prêt Bus,,oui,,mensuel,33,113,41,40,20
BUS,Astrapi,154607,Prêt Bus,,oui,,bimensuel,100,635,145,134,44
BUS,Auto-journal ,154714,Prêt Bus,,oui,,bimensuel,65,195,42,69,50
BUS,Avantages ,157955,Prêt Bus,,oui,,mensuel,22,172,69,38,21
BUS,Ca m'intéresse ,154629,Prêt Bus,,oui,,mensuel,35,189,59,40,23
BUS,Cuisine actuelle ,154856,Prêt Bus,,oui,,mensuel,22,73,48,36,23
BUS,Femme actuelle,154750,Prêt Bus,,oui,,hebdomadaire,70,443,97,140,99
BUS,France football,154762,Prêt Bus,,oui,,hebdomadaire,120,165,31,80,88
BUS,Géo ,154824,Prêt Bus,,oui,,mensuel,55,237,117,47,26
BUS,Histoires vraies devenu Je lis des….,261766,Prêt Bus,,oui,Nouveau ,mensuel,69,,,,
BUS,J'aime lire,154779,Prêt Bus,,oui,,mensuel,60,390,145,71,25
BUS,Je bouquine ,154699,Prêt Bus,,oui,,mensuel,70,79,29,34,25
BUS,Maison & travaux ,180039,Prêt Bus,,oui,,bimestriel,29,32,14,10,9
BUS,Mon jardin & ma maison,154751,Prêt Bus,,oui,,mensuel,40,258,77,47,21
BUS,Notre temps magazine ,154695,Prêt Bus,,oui,,mensuel,40,151,42,40,25
BUS,Parents ,154693,Prêt Bus,,oui,,mensuel,24,116,45,43,22
BUS,Paris Match,154694,Prêt Bus,,oui,,hebdomadaire,103,585,79,145,102
BUS,Popi ,203333,Prêt Bus,,oui,,mensuel,60,277,101,58,24
BUS,Psychologies magazine ,157258,Prêt Bus,,oui,,mensuel,36,242,109,42,23
BUS,Top santé,154777,Prêt Bus,,oui,,mensuel,31,43,15,15,11
BUS,Toupie,157472,Prêt Bus,,oui,,mensuel,60,169,74,60,27
Cinéma,Avant-scène. Cinéma ,156327,Etude,prêt 1er étage / Cinéma,oui,,mensuel,105,13,7,11,10
Cinéma,Ecran fantastique ,182568,RDC / espace presse,prêt 1er étage / Cinéma,oui,,mensuel,65,12,10,5,2
Cinéma,Mad movies,157998,RDC / espace presse,prêt 1er étage / Cinéma,oui,,bimestriel,49,87,19,20,11
Cinéma,Positif,157093,RDC / espace presse,prêt 1er étage / Cinéma,oui,,mensuel,69,19,10,8,11
Cinéma,Première ,156765,RDC / espace presse,prêt 1er étage / Cinéma,oui,,mensuel,24,28,16,7,6
Cinéma,Séries mag,268829,,,,MORT,,0,3,2,3,0
Cinéma,So film ,260862,RDC / espace presse,prêt 1er étage / Cinéma,oui,,mensuel,38,42,13,17,10
Cinéma,Télérama ,154615,RDC / espace presse,prêt 1er étage / Cinéma,oui,,hebdomadaire,99,54,14,37,50
Cinéma,Temps des médias,158055,Etude,magasin,non,,semestriel,75,0,0,0,0
Consommation,60 millions de consommateurs ,154809,Etude,magasin,non,,mensuel,75,148,67,24,10
