Stat surprises
239447;2015-11-03
104840;2015-11-03
278466;2015-11-04
182727;2015-11-04
208508;2015-11-04
258454;2015-11-05
229280;2015-11-05
187211;2015-11-05
181912;2015-11-05
204317;2015-11-05
64370;2015-11-07
170044;2015-11-07
205126;2015-11-10
209054;2015-11-10
269067;2015-11-10
226788;2015-11-11
262145;2015-11-11
277203;2015-11-12
280334;2015-11-13
137230;2015-11-14
272639;2015-11-14
272646;2015-11-14
272628;2015-11-14
267468;2015-11-14
264971;2015-11-14
272550;2015-11-14
272643;2015-11-14
272548;2015-11-14
272640;2015-11-15
271249;2015-11-15
272638;2015-11-15
213797;2015-11-16
249752;2015-11-16
19989;2015-11-16
111159;2015-11-17
142420;2015-11-17
268088;2015-11-17
274215;2015-11-17
273415;2015-11-17
273422;2015-11-17
275554;2015-11-17
264183;2015-11-18
279613;2015-11-20
275056;2015-11-20
270329;2015-11-21
218876;2015-11-21
280747;2015-11-21
280782;2015-11-21
280794;2015-11-21
280780;2015-11-21
280315;2015-11-21
265958;2015-11-24
269031;2015-11-24
185813;2015-11-24
271032;2015-11-24
218962;2015-11-25
1533;2015-11-25
1706;2015-11-25
270774;2015-11-25
273973;2015-11-25
276668;2015-11-25
273546;2015-11-25
238698;2015-11-25
230096;2015-11-25
86902;2015-11-25
216926;2015-11-25
241811;2015-11-27
187357;2015-11-27
280071;2015-11-28
282222;2015-11-28
162722;2015-11-28
257804;2015-12-04
282041;2015-12-05
281224;2015-12-09
163257;2015-12-09
256420;2015-12-11
226289;2015-12-12
277011;2015-12-15
272318;2015-12-16
243467;2015-12-16
243467;2015-12-16
277795;2015-12-16
233181;2015-12-16
195590;2015-12-16
279120;2015-12-16
279074;2015-12-16
241013;2015-12-16
265334;2015-12-17
278576;2015-12-17
262718;2015-12-17
263468;2015-12-18
279033;2015-12-26
182343;2015-12-26
283201;2015-12-29
281223;2015-12-29
282360;2015-12-29
256331;2015-12-29
255003;2015-12-29
189524;2015-12-29
263468;2015-12-31
273599;2016-01-05
279600;2016-01-05
198320;2016-01-06
262502;2016-01-06
279941;2016-01-06
258560;2016-01-06
274222;2016-01-06
212840;2016-01-06
265468;2016-01-07
258466;2016-01-07
238578;2016-01-07
217567;2016-01-07
235095;2016-01-08
185363;2016-01-09
92682;2016-01-09
118841;2016-01-10
268088;2016-01-12
281987;2016-01-12
281981;2016-01-12
282362;2016-01-12
282837;2016-01-12
265334;2016-01-12
277235;2016-01-12
277561;2016-01-12
281897;2016-01-13
248920;2016-01-13
283302;2016-01-14
281248;2016-01-15
281247;2016-01-15
276705;2016-01-15
229362;2016-01-15
277210;2016-01-16
159234;2016-01-16
243703;2016-01-18
271736;2016-01-21
283298;2016-01-21
215806;2016-01-22
283691;2016-01-23
268645;2016-01-23
274070;2016-01-23
272575;2016-01-23
272576;2016-01-23
256674;2016-01-23
246007;2016-01-23
252853;2016-01-23
280334;2016-01-26
243661;2016-01-27
281221;2016-01-27
268683;2016-01-27
229364;2016-01-28
277118;2016-01-28
192384;2016-01-28
3871;2016-01-28
222425;2016-01-29
162722;2016-01-29
263117;2016-02-02
263038;2016-02-02
238716;2016-02-02
283674;2016-02-03
237678;2016-02-05
283528;2016-02-05
280374;2016-02-05
248009;2016-02-05
137106;2016-02-05
213377;2016-02-05
250220;2016-02-05
226879;2016-02-05
280914;2016-02-07
207546;2016-02-09
283276;2016-02-09
238646;2016-02-09
283761;2016-02-10
179119;2016-02-11
256727;2016-02-11
256717;2016-02-11
274074;2016-02-11
264961;2016-02-11
268598;2016-02-11
274034;2016-02-11
260720;2016-02-11
262282;2016-02-11
258468;2016-02-11
282625;2016-02-11
244304;2016-02-11
262355;2016-02-11
281370;2016-02-12
271210;2016-02-12
277235;2016-02-12
278141;2016-02-12
278105;2016-02-12
280049;2016-02-12
258492;2016-02-17
224614;2016-02-17
185575;2016-02-17
189781;2016-02-17
283267;2016-02-18
281731;2016-02-19
283258;2016-02-20
271586;2016-02-20
283871;2016-02-20
255516;2016-02-20
219290;2016-02-21
266329;2016-02-21
267484;2016-02-21
241766;2016-02-21
283747;2016-02-23
279600;2016-02-23
281943;2016-02-23
279846;2016-02-24
248077;2016-02-24
282547;2016-02-24
282564;2016-02-24
192265;2016-02-25
282359;2016-02-26
282346;2016-02-26
283291;2016-02-26
186685;2016-02-27
186680;2016-02-27
137417;2016-02-27
272470;2016-02-27
206035;2016-02-27
245437;2016-03-01
277031;2016-03-01
4063;2016-03-03
212920;2016-03-04
284298;2016-03-05
229352;2016-03-05
194000;2016-03-05
272483;2016-03-05
275060;2016-03-05
275284;2016-03-08
276770;2016-03-10
226388;2016-03-10
151110;2016-03-12
268646;2016-03-13
256679;2016-03-13
197284;2016-03-13
283284;2016-03-16
82971;2016-03-17
272562;2016-03-18
282360;2016-03-19
283541;2016-03-19
236919;2016-03-20
283732;2016-03-23
285232;2016-03-23
285156;2016-03-23
285099;2016-03-23
285206;2016-03-23
276715;2016-03-23
282534;2016-03-23
240612;2016-03-23
268634;2016-03-23
246490;2016-03-24
254610;2016-03-24
285157;2016-03-24
285195;2016-03-24
277755;2016-03-24
285211;2016-03-24
271281;2016-03-24
279848;2016-03-24
282543;2016-03-24
282656;2016-03-24
279911;2016-03-24
282606;2016-03-24
279896;2016-03-24
282523;2016-03-24
279928;2016-03-24
274021;2016-03-24
279874;2016-03-24
270681;2016-03-24
276676;2016-03-24
192007;2016-03-24
279923;2016-03-24
282571;2016-03-24
279878;2016-03-24
277753;2016-03-24
276682;2016-03-24
282626;2016-03-24
283546;2016-03-24
282643;2016-03-24
285344;2016-03-24
203014;2016-03-26
283935;2016-03-26
285102;2016-03-29
285085;2016-03-29
285098;2016-03-29
285124;2016-03-29
285159;2016-03-29
202027;2016-03-29
211478;2016-03-29
259612;2016-03-30
236953;2016-03-30
206039;2016-03-30
56549;2016-03-30
140982;2016-03-30
269547;2016-03-30
280458;2016-03-30
246709;2016-03-30
284281;2016-03-30
285207;2016-04-02
285149;2016-04-02
274006;2016-04-02
188095;2016-04-02
285160;2016-04-03
285209;2016-04-03
285212;2016-04-03
285226;2016-04-03
285188;2016-04-03
285133;2016-04-03
285229;2016-04-03
285116;2016-04-03
283556;2016-04-04
199299;2016-04-05
277366;2016-04-05
239093;2016-04-07
105347;2016-04-07
284661;2016-04-07
280692;2016-04-08
285002;2016-04-09
262277;2016-04-10
268647;2016-04-10
271211;2016-04-10
285131;2016-04-10
285231;2016-04-10
279868;2016-04-10
285092;2016-04-10
285208;2016-04-10
209772;2016-04-12
285514;2016-04-12
285513;2016-04-12
284940;2016-04-12
283262;2016-04-12
264241;2016-04-13
285519;2016-04-13
281193;2016-04-13
276664;2016-04-14
276331;2016-04-15
276674;2016-04-17
271215;2016-04-17
